days,travellers,daily_cost,distance_km,target
2,1,2500,172.1013328080913,5023.0
11,4,2500,78.0149970107418,117882.0
10,5,2000,300.72548012307874,98561.0
7,4,2000,132.0289922859647,47679.0
7,3,2000,561.3305140435918,47083.0
13,5,2000,2.4018974656674574,152455.0
2,3,1500,85.91804264587294,10601.0
10,5,5000,147.88551185005608,322260.0
3,3,1800,119.37402695591703,18012.0
2,1,2000,135.46706194782618,6093.0
8,4,2000,393.6285630367071,71812.0
14,1,2000,196.50724698788952,28864.0
11,6,1800,369.014629142024,109488.0
11,4,1800,534.1547601877747,100255.0
11,3,2000,361.53405931542125,66225.0
12,3,3000,416.71967477182886,104559.0
8,4,5000,219.3019789328144,190683.0
2,2,3000,95.8430805736255,14670.0
12,2,1800,192.35043746994367,51249.0
7,3,2500,578.5695892224649,56915.0
8,2,1800,373.08683067188224,31591.0
6,5,2000,166.5066716604091,62877.0
3,1,5000,270.5491602972623,17666.0
13,5,2500,501.3078224585966,207883.0
11,3,1500,401.0661424234641,56766.0
10,4,1500,336.39170443750095,82867.0
6,1,2000,531.0977259803046,15730.0
12,3,1800,403.4637433300742,67707.0
8,5,2500,385.63783847465726,118975.0
7,2,1500,113.86088232646088,26888.0
7,1,1800,63.83320980744467,16339.0
4,4,2500,579.0852702344395,56806.0
2,1,1800,359.3150220602116,5053.0
8,2,2000,249.41004548785745,33123.0
13,3,2500,353.4124925461305,109023.0
1,4,1800,37.08717664302923,9527.0
13,4,2500,493.2763643424641,145260.0
12,5,3000,129.9873213386016,192836.0
4,6,5000,482.7276037907682,132400.0
9,1,2500,320.6270659581664,22865.0
3,3,2000,165.94320819414165,19606.0
11,1,2500,18.125968945242278,28024.0
10,1,2500,489.50001319596345,33130.0
5,2,2000,105.87608488158399,20256.0
1,4,2000,31.083069383924066,8551.0
14,6,2000,453.5266384955285,161240.0
7,5,5000,210.02593342378728,195293.0
13,4,2500,233.60040335499,157572.0
10,5,2500,148.2405523684314,155508.0
11,2,5000,515.5070872181383,116943.0
11,6,2500,178.39771566391926,181360.0
3,6,2000,126.1155418506143,38314.0
6,1,2500,185.54983580169366,16772.0
7,3,3000,121.88974510043818,66938.0
7,5,3000,190.5931324831245,109575.0
1,3,2000,49.76173372090382,6707.0
8,6,5000,95.118017471675,255785.0
3,6,2500,250.23173003768872,49237.0
11,3,3000,527.6801133539258,102311.0
10,1,2000,34.37444803337151,24716.0
13,3,3000,127.60482405601839,164094.0
11,2,2000,545.0074053249577,41852.0
6,3,5000,534.008804495953,82885.0
14,4,2000,407.67049997756476,105662.0
6,3,5000,144.2841324571428,90601.0
5,2,2500,251.88633663347144,30081.0
13,2,1500,126.73259666277903,42956.0
6,5,3000,77.15310547512195,93452.0
2,1,2500,227.9990367083349,6299.0
7,2,2000,345.49296304221014,28312.0
12,6,2000,215.95960527888315,144876.0
3,1,2500,366.49473027958186,8944.0
7,3,3000,177.75284122758327,53857.0
2,2,2500,207.51031665647417,10143.0
10,1,2000,474.4041549867658,19140.0
7,3,2500,526.9888385363148,64473.0
5,4,1800,193.22044891863123,40260.0
4,2,1500,342.9094808071657,15865.0
8,1,2000,166.89737033536082,13366.0
10,1,2000,32.00078502445651,16846.0
14,4,1800,442.7143088162448,116820.0
7,6,2500,102.6020899416902,76992.0
3,2,1500,255.4275142481503,12792.0
12,2,2500,292.2272960274941,50087.0
9,3,3000,110.68295050746354,91096.0
10,3,2000,56.733210398037755,54543.0
2,2,2000,208.80780880264237,10968.0
5,1,1800,571.371544530191,16585.0
11,4,1800,369.08135399305286,64787.0
12,3,1500,228.8461370417415,61685.0
7,3,5000,23.346492464528957,84745.0
12,2,1800,360.1639688346491,48503.0
12,6,3000,55.354584561223554,212002.0
6,4,3000,325.5264426285158,78420.0
13,3,1500,451.17030496304574,57291.0
5,2,1800,254.1512089768718,22000.0
4,5,5000,179.64689688991464,87066.0
10,6,1800,28.430540290559158,126144.0
9,1,2000,14.866725096958078,17194.0
2,6,2500,258.0159417873127,30585.0
12,5,1800,530.0071624217808,143617.0
3,1,2500,146.43766727591424,8021.0
12,5,2500,344.4333034690928,197246.0
1,1,2000,410.58349180785706,4217.0
12,1,2000,36.49792050081686,21941.0
12,1,2500,91.86022548202627,30059.0
11,3,3000,198.76607605174024,102869.0
10,4,2000,402.0559044891423,103806.0
7,3,2000,263.42106733685813,47595.0
10,1,2500,440.5170409309472,27334.0
4,2,2500,520.5587193439155,23592.0
11,6,1800,455.0233659591257,128936.0
8,6,3000,595.3483243879494,185114.0
7,5,2500,452.6166412389898,96595.0
8,1,2000,511.3075170044703,17210.0
8,5,2500,499.41981507900056,102784.0
1,5,2500,438.159457368028,19896.0
2,4,3000,481.08108999353436,26789.0
4,1,5000,560.8099367204461,20328.0
2,6,1800,285.1244271157756,34046.0
7,3,2500,382.9722143475261,55698.0
10,1,5000,308.9638329436636,55755.0
10,2,1800,510.6221923152438,29771.0
7,3,2000,258.81576172290437,48289.0
12,1,3000,491.83606268683974,37239.0
8,2,2500,479.6127450342833,41376.0
2,3,1800,577.1316608211544,18115.0
11,6,2500,149.35241955445127,158846.0
9,1,2000,425.7717059315474,15270.0
9,4,2000,454.15169858849174,88543.0
8,6,3000,561.7670956827994,162143.0
8,5,2000,544.1414508333187,87523.0
2,6,5000,344.115517025069,60786.0
8,2,2000,347.4919115183879,29156.0
12,5,1800,100.37473704253763,113003.0
