date,month,weekend,rain_mm,target
2022-01-01,1,1,0.0,59.449900898379255
2022-01-02,1,0,0.0,65.0738647762
2022-01-03,1,0,0.0,64.06300244009863
2022-01-04,1,0,0.0,66.07144816509354
2022-01-05,1,0,0.0,51.90374347864426
2022-01-06,1,0,0.0,52.928071082188005
2022-01-07,1,1,0.0,78.9105712160392
2022-01-08,1,1,0.0,92.9932937265289
2022-01-09,1,0,0.0,73.24445314859847
2022-01-10,1,0,0.0,65.14427640857227
2022-01-11,1,0,0.0,60.97917752323151
2022-01-12,1,0,0.0,70.01844427930114
2022-01-13,1,0,0.0,55.69741788565398
2022-01-14,1,1,0.0,76.48152622565935
2022-01-15,1,1,0.0,78.8388009144757
2022-01-16,1,0,0.0,49.1915706752238
2022-01-17,1,0,0.0,56.424915720655484
2022-01-18,1,0,0.0,47.94332760594454
2022-01-19,1,0,0.0,67.2250703700962
2022-01-20,1,0,0.0,62.89318651929716
2022-01-21,1,1,0.0,92.86606157793042
2022-01-22,1,1,0.0,65.33645477377229
2022-01-23,1,0,0.0,75.11527252229865
2022-01-24,1,0,3.2,41.287721275859035
2022-01-25,1,0,1.7,45.855227324251146
2022-01-26,1,0,3.9,49.29260607823219
2022-01-27,1,0,0.0,69.76948622772878
2022-01-28,1,1,0.0,82.03016147505716
2022-01-29,1,1,0.0,77.80553674530586
2022-01-30,1,0,0.0,50.866353088193556
2022-01-31,1,0,0.0,45.616583644053705
2022-02-01,2,0,0.0,68.19364591323709
2022-02-02,2,0,3.5,62.38775334943776
2022-02-03,2,0,0.0,70.17205339383115
2022-02-04,2,1,0.0,83.57136314283012
2022-02-05,2,1,5.6,51.74107787300018
2022-02-06,2,0,0.3,46.558753605866926
2022-02-07,2,0,0.0,62.18384175262038
2022-02-08,2,0,0.0,54.67254677287582
2022-02-09,2,0,0.0,52.970422297646856
2022-02-10,2,0,0.0,48.07095911599424
2022-02-11,2,1,0.0,88.52830610673087
2022-02-12,2,1,0.0,84.10573373672877
2022-02-13,2,0,0.0,62.5107210061731
2022-02-14,2,0,0.0,52.29757976093448
2022-02-15,2,0,0.0,59.58658983009828
2022-02-16,2,0,0.0,45.96011566423167
2022-02-17,2,0,0.0,56.83154817238426
2022-02-18,2,1,0.0,57.24863379266202
2022-02-19,2,1,0.0,65.886954747789
2022-02-20,2,0,0.1,55.0191934017319
2022-02-21,2,0,13.4,68.65606331647439
2022-02-22,2,0,0.0,41.793312339176225
2022-02-23,2,0,0.0,46.80777466714123
2022-02-24,2,0,0.0,59.950973170235294
2022-02-25,2,1,0.0,95.92480615413143
2022-02-26,2,1,0.0,81.81955247289267
2022-02-27,2,0,0.0,64.31927667073741
2022-02-28,2,0,0.0,54.961566243911705
2022-03-01,3,0,0.0,35.404405699545606
2022-03-02,3,0,0.0,40.739659168609805
2022-03-03,3,0,0.0,34.07539548436506
2022-03-04,3,1,0.0,68.5184240484597
2022-03-05,3,1,0.0,47.54355290948975
2022-03-06,3,0,0.0,48.0098832931015
2022-03-07,3,0,0.0,40.35381711072477
2022-03-08,3,0,0.0,38.06751218259223
2022-03-09,3,0,0.0,25.213138958322205
2022-03-10,3,0,0.0,31.181901952019174
2022-03-11,3,1,0.0,72.78786325819861
2022-03-12,3,1,0.0,60.12260901769971
2022-03-13,3,0,0.0,42.50558619285539
2022-03-14,3,0,0.0,32.08421188016188
2022-03-15,3,0,0.0,39.73850827397094
2022-03-16,3,0,0.0,27.650631566920186
2022-03-17,3,0,0.0,40.898940288590985
2022-03-18,3,1,0.0,65.33576807543184
2022-03-19,3,1,0.0,64.88553254466515
2022-03-20,3,0,0.0,31.867736525588544
2022-03-21,3,0,0.0,36.92154114309549
2022-03-22,3,0,0.0,44.83474731383468
2022-03-23,3,0,0.0,38.09706164249712
2022-03-24,3,0,0.4,37.09425155893901
2022-03-25,3,1,0.3,78.89120847763
2022-03-26,3,1,1.6,52.161097930204875
2022-03-27,3,0,8.1,43.243766212800836
2022-03-28,3,0,7.0,24.007874028455625
2022-03-29,3,0,1.5,44.693029771942726
2022-03-30,3,0,1.2,45.41337302311576
2022-03-31,3,0,0.4,35.08671360448659
2022-04-01,4,1,0.0,51.04270832424105
2022-04-02,4,1,0.4,43.94610116576924
2022-04-03,4,0,0.4,34.14397841967198
2022-04-04,4,0,2.6,42.65596783157092
2022-04-05,4,0,0.2,30.141346586103797
2022-04-06,4,0,0.0,40.872537228313554
2022-04-07,4,0,0.0,26.71213181880239
2022-04-08,4,1,0.0,59.895006271064325
2022-04-09,4,1,0.0,51.67660486221142
2022-04-10,4,0,0.0,39.29817548295016
2022-04-11,4,0,0.8,34.85028477353221
2022-04-12,4,0,0.0,29.2867047738616
2022-04-13,4,0,0.0,34.070138698999536
2022-04-14,4,0,0.1,31.512588239822065
2022-04-15,4,1,0.1,50.09467769786329
2022-04-16,4,1,0.8,71.10471242760475
2022-04-17,4,0,0.0,36.758426219941676
2022-04-18,4,0,0.4,19.859970958337012
2022-04-19,4,0,0.1,34.310472731647835
2022-04-20,4,0,8.8,41.19240542436438
2022-04-21,4,0,3.1,30.66777230068361
2022-04-22,4,1,1.9,73.95969490320266
2022-04-23,4,1,0.6,53.8100415053457
2022-04-24,4,0,0.4,44.210672502348096
2022-04-25,4,0,0.4,49.009747261319106
2022-04-26,4,0,0.0,44.051745750802894
2022-04-27,4,0,0.2,27.469554228230727
2022-04-28,4,0,0.0,31.51778280770592
2022-04-29,4,1,0.0,72.53063891347924
2022-04-30,4,1,0.1,54.67849689301221
2022-05-01,5,0,0.0,48.78108862511984
2022-05-02,5,0,0.1,36.047437503665506
2022-05-03,5,0,12.1,31.59293587297236
2022-05-04,5,0,25.7,6.965034506811435
2022-05-05,5,0,5.2,30.36559182758752
2022-05-06,5,1,0.0,54.1222425760425
2022-05-07,5,1,0.0,64.03039685502357
2022-05-08,5,0,0.2,40.67877821744295
2022-05-09,5,0,31.0,19.363849066210708
2022-05-10,5,0,22.0,17.985297472165943
2022-05-11,5,0,13.5,20.827929358348797
2022-05-12,5,0,11.2,32.68456176989877
2022-05-13,5,1,4.2,49.37369987293669
2022-05-14,5,1,5.2,67.5458027378033
2022-05-15,5,0,4.1,35.68929852069799
2022-05-16,5,0,0.1,36.984784012655396
2022-05-17,5,0,3.8,41.1195806047519
2022-05-18,5,0,4.0,36.11271950511455
2022-05-19,5,0,2.1,23.397534548483232
2022-05-20,5,1,2.7,50.287130905495104
2022-05-21,5,1,0.6,71.03937833478153
2022-05-22,5,0,1.0,39.954959130601246
2022-05-23,5,0,5.2,20.70588977872903
2022-05-24,5,0,1.1,42.289008600436496
2022-05-25,5,0,4.5,31.36667062117226
2022-05-26,5,0,11.1,23.24950042742096
2022-05-27,5,1,14.4,40.176145469295385
2022-05-28,5,1,9.4,63.47936524186818
2022-05-29,5,0,3.8,19.27051465195185
2022-05-30,5,0,19.6,16.78221133004459
2022-05-31,5,0,21.9,23.56114089320118
2022-06-01,6,0,2.8,51.96526762013147
2022-06-02,6,0,22.0,27.38472376715287
2022-06-03,6,1,7.6,48.30577846020478
2022-06-04,6,1,5.8,71.12418108696133
2022-06-05,6,0,8.6,20.923889402655245
2022-06-06,6,0,0.0,42.38802548819639
2022-06-07,6,0,0.1,44.310061811769934
2022-06-08,6,0,4.4,28.549959751196027
2022-06-09,6,0,2.5,44.27833746699429
2022-06-10,6,1,2.2,55.614988839531364
2022-06-11,6,1,0.2,68.09628184766169
2022-06-12,6,0,1.6,22.16364056672412
2022-06-13,6,0,0.7,42.45478481205987
2022-06-14,6,0,2.5,34.291039945757554
2022-06-15,6,0,12.0,40.74733404671039
2022-06-16,6,0,33.3,12.964173432061445
2022-06-17,6,1,21.3,56.20306580348107
2022-06-18,6,1,27.3,44.728514885297464
2022-06-19,6,0,37.2,9.092423868566579
2022-06-20,6,0,79.1,0.0
2022-06-21,6,0,59.7,0.0
2022-06-22,6,0,5.6,39.76719004042093
2022-06-23,6,0,4.7,15.609287628373352
2022-06-24,6,1,3.0,50.75695558312042
2022-06-25,6,1,1.7,73.09695261855332
2022-06-26,6,0,0.3,28.456487301082603
2022-06-27,6,0,1.9,46.42215035059226
2022-06-28,6,0,11.0,37.55807391101702
2022-06-29,6,0,7.4,27.548228745761733
2022-06-30,6,0,5.3,17.802915355949477
2022-07-01,7,1,52.8,14.639786618468658
2022-07-02,7,1,18.2,66.1421353926971
2022-07-03,7,0,4.3,28.790504370115812
2022-07-04,7,0,1.0,32.05168389860657
2022-07-05,7,0,1.4,29.901758307211562
2022-07-06,7,0,4.7,47.17306028894568
2022-07-07,7,0,6.9,32.29375859537404
2022-07-08,7,1,2.8,54.12684393945775
2022-07-09,7,1,2.8,72.48126615475816
2022-07-10,7,0,3.8,42.17544679141983
2022-07-11,7,0,2.3,29.88638782460766
2022-07-12,7,0,0.9,28.267744800443978
2022-07-13,7,0,3.1,47.943529683919756
2022-07-14,7,0,2.4,38.23109347367544
2022-07-15,7,1,1.2,47.098423821294986
2022-07-16,7,1,3.2,43.391958817958056
2022-07-17,7,0,2.2,28.195651563202176
2022-07-18,7,0,5.1,24.764638707072734
2022-07-19,7,0,6.9,16.06530726188707
2022-07-20,7,0,11.2,21.144437120163534
2022-07-21,7,0,1.6,30.448274945205316
2022-07-22,7,1,9.6,50.155868404538865
2022-07-23,7,1,19.8,61.39619040614941
2022-07-24,7,0,10.7,29.038410551115533
2022-07-25,7,0,0.2,38.331826460302075
2022-07-26,7,0,0.0,44.58329827419048
2022-07-27,7,0,0.0,37.86413736040096
2022-07-28,7,0,0.4,43.28137667498038
2022-07-29,7,1,0.2,64.36553389256561
