date,month,year,slug,category,avg_daily_cost,visitors
2022-01-01,1,2022,bandarban,mountain,3000,494
2022-02-01,2,2022,bandarban,mountain,3000,455
2022-03-01,3,2022,bandarban,mountain,3000,559
2022-04-01,4,2022,bandarban,mountain,3000,968
2022-05-01,5,2022,bandarban,mountain,3000,1039
2022-06-01,6,2022,bandarban,mountain,3000,1078
2022-07-01,7,2022,bandarban,mountain,3000,841
2022-08-01,8,2022,bandarban,mountain,3000,737
2022-09-01,9,2022,bandarban,mountain,3000,764
2022-10-01,10,2022,bandarban,mountain,3000,1529
2022-11-01,11,2022,bandarban,mountain,3000,1881
2022-12-01,12,2022,bandarban,mountain,3000,1892
2023-01-01,1,2023,bandarban,mountain,3000,449
2023-02-01,2,2023,bandarban,mountain,3000,402
2023-03-01,3,2023,bandarban,mountain,3000,545
2023-04-01,4,2023,bandarban,mountain,3000,1083
2023-05-01,5,2023,bandarban,mountain,3000,1225
2023-06-01,6,2023,bandarban,mountain,3000,1029
2023-07-01,7,2023,bandarban,mountain,3000,804
2023-08-01,8,2023,bandarban,mountain,3000,690
2023-09-01,9,2023,bandarban,mountain,3000,1010
2023-10-01,10,2023,bandarban,mountain,3000,1209
2023-11-01,11,2023,bandarban,mountain,3000,1391
2023-12-01,12,2023,bandarban,mountain,3000,2006
2024-01-01,1,2024,bandarban,mountain,3000,374
2024-02-01,2,2024,bandarban,mountain,3000,433
2024-03-01,3,2024,bandarban,mountain,3000,675
2024-04-01,4,2024,bandarban,mountain,3000,1089
2024-05-01,5,2024,bandarban,mountain,3000,1321
2024-06-01,6,2024,bandarban,mountain,3000,750
2024-07-01,7,2024,bandarban,mountain,3000,897
2024-08-01,8,2024,bandarban,mountain,3000,755
2024-09-01,9,2024,bandarban,mountain,3000,729
2024-10-01,10,2024,bandarban,mountain,3000,1660
2024-11-01,11,2024,bandarban,mountain,3000,1450
2024-12-01,12,2024,bandarban,mountain,3000,1569
2025-01-01,1,2025,bandarban,mountain,3000,386
2025-02-01,2,2025,bandarban,mountain,3000,421
2025-03-01,3,2025,bandarban,mountain,3000,624
2025-04-01,4,2025,bandarban,mountain,3000,1138
2025-05-01,5,2025,bandarban,mountain,3000,1267
2025-06-01,6,2025,bandarban,mountain,3000,870
2025-07-01,7,2025,bandarban,mountain,3000,929
2025-08-01,8,2025,bandarban,mountain,3000,646
2025-09-01,9,2025,bandarban,mountain,3000,726
2025-10-01,10,2025,bandarban,mountain,3000,1561
2025-11-01,11,2025,bandarban,mountain,3000,1716
2025-12-01,12,2025,bandarban,mountain,3000,2031
2022-01-01,1,2022,chattogram,beach,2500,970
2022-02-01,2,2022,chattogram,beach,2500,735
2022-03-01,3,2022,chattogram,beach,2500,1055
2022-04-01,4,2022,chattogram,beach,2500,2186
2022-05-01,5,2022,chattogram,beach,2500,2298
2022-06-01,6,2022,chattogram,beach,2500,1874
2022-07-01,7,2022,chattogram,beach,2500,1558
2022-08-01,8,2022,chattogram,beach,2500,1169
2022-09-01,9,2022,chattogram,beach,2500,1768
2022-10-01,10,2022,chattogram,beach,2500,2120
2022-11-01,11,2022,chattogram,beach,2500,3239
2022-12-01,12,2022,chattogram,beach,2500,3629
2023-01-01,1,2023,chattogram,beach,2500,1047
2023-02-01,2,2023,chattogram,beach,2500,688
2023-03-01,3,2023,chattogram,beach,2500,1054
2023-04-01,4,2023,chattogram,beach,2500,2000
2023-05-01,5,2023,chattogram,beach,2500,2529
2023-06-01,6,2023,chattogram,beach,2500,1997
2023-07-01,7,2023,chattogram,beach,2500,1634
2023-08-01,8,2023,chattogram,beach,2500,1354
2023-09-01,9,2023,chattogram,beach,2500,1781
2023-10-01,10,2023,chattogram,beach,2500,3182
2023-11-01,11,2023,chattogram,beach,2500,2677
2023-12-01,12,2023,chattogram,beach,2500,3597
2024-01-01,1,2024,chattogram,beach,2500,985
2024-02-01,2,2024,chattogram,beach,2500,795
2024-03-01,3,2024,chattogram,beach,2500,1336
2024-04-01,4,2024,chattogram,beach,2500,1945
2024-05-01,5,2024,chattogram,beach,2500,2191
2024-06-01,6,2024,chattogram,beach,2500,1998
2024-07-01,7,2024,chattogram,beach,2500,1129
2024-08-01,8,2024,chattogram,beach,2500,1275
2024-09-01,9,2024,chattogram,beach,2500,2092
2024-10-01,10,2024,chattogram,beach,2500,2482
2024-11-01,11,2024,chattogram,beach,2500,3288
2024-12-01,12,2024,chattogram,beach,2500,3211
