slug,stars,distance_center_km,month,season,room_type,baseline_daily_cost,price_bdt
bandarban,4,3.5,8,winter,deluxe,3000,15676
bandarban,4,10.4,1,winter,standard,3000,11323
bandarban,3,7.6,6,monsoon,suite,3000,13702
bandarban,3,11.2,8,autumn,suite,3000,19887
bandarban,4,10.9,7,autumn,deluxe,3000,16459
bandarban,5,10.2,8,winter,standard,3000,13831
bandarban,5,4.0,11,winter,suite,3000,20658
bandarban,4,9.3,8,monsoon,standard,3000,8357
bandarban,3,5.7,11,autumn,standard,3000,11223
bandarban,3,7.9,11,autumn,deluxe,3000,14267
bandarban,3,4.3,8,autumn,suite,3000,17035
bandarban,5,10.8,7,autumn,deluxe,3000,15099
bandarban,4,8.8,5,summer,deluxe,3000,14363
bandarban,2,4.9,11,monsoon,suite,3000,12024
bandarban,4,2.9,5,summer,standard,3000,8365
bandarban,5,5.5,8,monsoon,suite,3000,12447
bandarban,2,9.2,2,winter,deluxe,3000,14068
bandarban,5,1.9,5,monsoon,standard,3000,7305
bandarban,3,3.1,3,monsoon,standard,3000,6711
bandarban,3,8.4,3,autumn,suite,3000,18106
bandarban,2,8.6,8,winter,deluxe,3000,12439
bandarban,5,1.4,3,winter,suite,3000,20918
bandarban,3,8.7,7,summer,standard,3000,10357
bandarban,4,7.3,3,autumn,suite,3000,23420
bandarban,4,9.7,2,summer,deluxe,3000,12641
bandarban,3,9.2,9,summer,suite,3000,17678
bandarban,4,4.2,11,monsoon,standard,3000,6245
bandarban,5,5.8,10,winter,standard,3000,13299
bandarban,4,5.4,11,autumn,deluxe,3000,15180
bandarban,5,4.1,5,autumn,deluxe,3000,15911
bandarban,4,2.8,6,winter,standard,3000,9629
bandarban,4,10.9,4,autumn,suite,3000,23489
bandarban,4,2.7,2,autumn,deluxe,3000,12919
bandarban,3,2.1,7,winter,suite,3000,17831
bandarban,5,10.7,8,monsoon,standard,3000,10085
bandarban,3,4.5,3,summer,suite,3000,15460
bandarban,4,2.4,9,autumn,deluxe,3000,14432
bandarban,5,7.5,6,summer,suite,3000,17328
bandarban,4,5.8,5,winter,standard,3000,11054
bandarban,2,0.9,10,monsoon,suite,3000,11186
bandarban,2,0.6,8,summer,standard,3000,7271
bandarban,2,1.0,9,autumn,suite,3000,13946
bandarban,5,3.8,10,monsoon,suite,3000,14080
bandarban,3,9.2,10,autumn,suite,3000,19809
bandarban,4,9.0,10,winter,deluxe,3000,15743
bandarban,2,3.3,3,winter,suite,3000,16908
bandarban,3,5.7,10,winter,deluxe,3000,12290
bandarban,3,5.9,8,autumn,standard,3000,10586
bandarban,3,6.3,9,monsoon,standard,3000,6610
bandarban,5,9.8,11,monsoon,deluxe,3000,13020
bandarban,3,2.7,1,summer,suite,3000,13515
bandarban,4,4.4,4,monsoon,standard,3000,7382
bandarban,2,1.0,10,monsoon,deluxe,3000,7757
bandarban,4,7.7,1,winter,deluxe,3000,17326
bandarban,4,2.9,4,monsoon,deluxe,3000,9432
bandarban,2,9.6,10,winter,suite,3000,18139
bandarban,4,3.7,11,summer,suite,3000,17535
bandarban,2,2.1,6,monsoon,deluxe,3000,7451
bandarban,2,2.8,4,summer,deluxe,3000,9750
bandarban,3,5.8,7,winter,standard,3000,8154
bandarban,3,3.5,5,summer,standard,3000,7705
bandarban,2,3.2,5,summer,standard,3000,8247
bandarban,2,5.4,2,monsoon,standard,3000,7515
bandarban,5,1.7,6,summer,standard,3000,9673
bandarban,5,9.5,5,winter,standard,3000,13804
bandarban,5,7.4,11,autumn,deluxe,3000,15931
bandarban,5,9.0,6,winter,suite,3000,23026
bandarban,3,10.0,4,summer,standard,3000,9063
bandarban,5,4.9,5,autumn,deluxe,3000,12903
bandarban,4,8.4,1,summer,standard,3000,10456
bandarban,2,9.2,1,winter,suite,3000,16719
bandarban,4,2.1,9,monsoon,deluxe,3000,9061
bandarban,5,4.6,5,winter,standard,3000,14183
bandarban,4,9.7,9,monsoon,standard,3000,8779
bandarban,5,4.0,7,monsoon,deluxe,3000,10705
bandarban,5,5.2,11,winter,suite,3000,22999
bandarban,5,1.8,3,summer,standard,3000,10538
bandarban,4,3.5,11,autumn,suite,3000,17274
bandarban,3,11.7,1,monsoon,deluxe,3000,9970
bandarban,3,11.7,4,summer,deluxe,3000,15235
bandarban,5,3.0,7,summer,deluxe,3000,11224
bandarban,5,2.7,11,winter,suite,3000,22264
bandarban,3,7.3,7,winter,deluxe,3000,14824
bandarban,2,9.4,4,winter,deluxe,3000,14172
bandarban,3,8.3,1,summer,suite,3000,18999
bandarban,5,6.0,4,monsoon,deluxe,3000,11253
bandarban,4,10.9,4,winter,standard,3000,12053
bandarban,3,5.8,9,winter,suite,3000,17463
bandarban,3,1.0,2,winter,suite,3000,15887
bandarban,3,10.0,8,autumn,deluxe,3000,15666
bandarban,2,3.3,7,winter,deluxe,3000,13221
bandarban,5,4.1,11,summer,deluxe,3000,11995
bandarban,5,8.7,7,monsoon,deluxe,3000,12029
bandarban,3,9.0,5,winter,suite,3000,18590
bandarban,3,10.1,8,autumn,standard,3000,11591
bandarban,4,4.7,12,monsoon,deluxe,3000,9204
bandarban,5,11.9,7,winter,suite,3000,24945
bandarban,2,10.0,3,summer,deluxe,3000,12628
bandarban,2,11.1,8,summer,deluxe,3000,11110
bandarban,3,6.6,9,summer,suite,3000,17248
bandarban,5,7.1,4,winter,standard,3000,14175
bandarban,5,0.6,8,autumn,suite,3000,17948
bandarban,2,4.7,4,summer,suite,3000,14042
bandarban,3,3.6,2,autumn,suite,3000,18031
bandarban,4,6.2,5,winter,standard,3000,11571
bandarban,5,2.5,9,monsoon,standard,3000,7226
bandarban,5,5.3,7,monsoon,suite,3000,14325
bandarban,2,7.3,12,autumn,standard,3000,8994
bandarban,5,7.8,9,summer,deluxe,3000,13803
bandarban,5,2.1,6,autumn,standard,3000,10458
bandarban,5,2.3,4,summer,suite,3000,19527
bandarban,4,2.1,10,summer,deluxe,3000,13151
bandarban,5,0.9,9,monsoon,deluxe,3000,9341
bandarban,3,4.6,1,monsoon,suite,3000,13184
bandarban,4,1.2,3,summer,suite,3000,16020
bandarban,5,4.0,4,monsoon,deluxe,3000,10569
bandarban,3,4.0,6,autumn,standard,3000,8460
bandarban,4,2.8,11,winter,deluxe,3000,12210
bandarban,2,2.7,1,autumn,deluxe,3000,11057
bandarban,2,4.4,12,autumn,suite,3000,14826
bandarban,3,11.6,5,autumn,deluxe,3000,14294
bandarban,2,0.6,12,autumn,standard,3000,6686
bandarban,5,10.4,8,autumn,standard,3000,12783
bandarban,3,3.8,4,monsoon,standard,3000,7288
bandarban,4,10.3,4,winter,suite,3000,22788
chattogram,4,8.1,12,autumn,standard,2500,9050
chattogram,2,7.2,5,winter,deluxe,2500,11860
chattogram,3,1.2,8,summer,standard,2500,7210
chattogram,4,2.7,9,monsoon,suite,2500,10997
chattogram,3,11.1,5,monsoon,standard,2500,6018
chattogram,2,3.7,10,autumn,deluxe,2500,10918
chattogram,2,6.3,12,winter,suite,2500,15130
chattogram,4,6.8,10,winter,standard,2500,9331
chattogram,3,9.3,2,summer,standard,2500,8294
chattogram,5,10.3,1,winter,suite,2500,24443
chattogram,4,5.4,10,summer,suite,2500,17550
chattogram,3,11.1,12,winter,deluxe,2500,15236
chattogram,2,5.8,3,autumn,suite,2500,13085
chattogram,5,6.0,4,summer,deluxe,2500,12837
chattogram,4,1.8,8,winter,suite,2500,18327
chattogram,2,3.8,3,winter,standard,2500,7463
chattogram,3,6.9,3,summer,standard,2500,7886
chattogram,3,6.1,12,winter,deluxe,2500,12589
chattogram,3,5.2,10,summer,deluxe,2500,9653
chattogram,5,4.3,10,winter,suite,2500,20380
chattogram,5,4.8,10,autumn,standard,2500,9691
chattogram,3,0.8,10,winter,standard,2500,8481
chattogram,5,6.8,5,summer,suite,2500,20475
chattogram,4,9.7,4,monsoon,standard,2500,6742
chattogram,4,1.6,10,monsoon,suite,2500,11211
chattogram,2,2.3,1,winter,suite,2500,14469
chattogram,2,10.0,12,autumn,suite,2500,12873
chattogram,5,1.6,9,winter,standard,2500,8534
chattogram,2,9.6,8,autumn,standard,2500,8839
chattogram,2,4.2,10,winter,deluxe,2500,10224
chattogram,5,11.9,8,autumn,deluxe,2500,16819
chattogram,4,0.9,6,autumn,suite,2500,13776
chattogram,5,10.5,2,winter,standard,2500,12490
chattogram,3,2.6,11,summer,deluxe,2500,9391
chattogram,3,0.6,1,monsoon,standard,2500,4939
chattogram,5,9.5,12,summer,deluxe,2500,11674
chattogram,3,11.6,2,winter,deluxe,2500,13910
chattogram,2,9.3,7,winter,deluxe,2500,10625
chattogram,4,6.8,7,monsoon,suite,2500,14190
chattogram,4,2.6,6,winter,suite,2500,16354
chattogram,4,11.5,4,monsoon,deluxe,2500,11494
