days,travellers,daily_budget,distance_km,month,interests,category,season,total_spend
2,1,5205,186.4,7,wildlife,nature,monsoon,11155.6
11,4,5094,95.4,6,sunset wildlife,heritage,monsoon,225662.4
10,5,2394,310.7,1,sunset lake,heritage,winter,125914.0
7,4,6504,147.6,2,food lake wildlife,mountain,winter,184473.6
7,3,5780,562.6,8,hills shopping wildlife,heritage,monsoon,128131.20000000001
13,5,6222,22.3,7,shopping sunset lake,nature,monsoon,404876.0
2,3,4168,103.1,7,sunset adventure,nature,monsoon,26245.199999999997
10,5,7226,163.0,2,sunset food adventure,heritage,winter,364560.0
3,3,3606,135.4,7,hills,mountain,monsoon,34078.8
2,1,6601,151.0,1,tea,nature,winter,13806.0
8,4,2265,400.5,2,hills lake,nature,winter,78888.0
14,1,2580,210.0,6,heritage hills shopping,beach,monsoon,36960.0
11,6,4592,376.7,8,tea beach wildlife,mountain,monsoon,312112.80000000005
11,4,4802,536.3,8,sunset wildlife adventure,beach,monsoon,219868.8
11,3,6172,369.5,12,hills food wildlife,beach,autumn,208110.0
12,3,2941,422.8,11,lake adventure,nature,autumn,110949.59999999999
8,4,7083,232.0,5,sunset food,city,monsoon,230368.0
2,2,3174,112.6,10,adventure lake,city,autumn,13596.8
12,2,4646,205.9,2,tea,heritage,winter,113151.2
7,3,7509,579.3,11,shopping lake,nature,autumn,164640.59999999998
8,2,4683,380.7,5,heritage,mountain,monsoon,77973.6
6,5,5709,181.0,10,hills sunset adventure,mountain,autumn,174890.0
3,1,7342,281.5,12,shopping lake sunset,heritage,autumn,23152.0
13,5,7817,504.6,9,heritage tea,city,monsoon,518197.0
11,3,4395,407.7,12,food shopping,city,autumn,149927.40000000002
10,4,3801,345.2,1,wildlife beach,mountain,winter,157563.2
6,1,2217,533.4,3,sunset lake,nature,summer,15435.6
12,3,4669,410.0,8,beach adventure,nature,monsoon,173004.0
8,5,7412,392.8,7,adventure lake,beach,monsoon,304336.0
7,2,4307,130.1,2,beach,beach,winter,61338.8
7,1,3309,81.7,9,hills heritage beach,beach,monsoon,23489.8
4,4,1572,579.8,1,shopping,heritage,winter,34428.8
2,1,3606,367.3,12,shopping sunset,mountain,autumn,8681.2
8,2,2504,261.1,2,sunset,heritage,winter,42152.8
13,3,7832,361.6,6,wildlife sunset,mountain,monsoon,309787.19999999995
1,4,4598,55.9,10,lake adventure hills,heritage,autumn,19286.4
13,4,1786,496.8,7,wildlife,beach,monsoon,100820.8
12,5,1285,145.7,9,food lake,mountain,monsoon,80014.0
4,6,6925,486.6,9,shopping hills,mountain,monsoon,177878.40000000002
9,1,7506,329.9,12,beach,nature,autumn,68873.6
3,3,6293,180.4,6,lake shopping hills,nature,monsoon,58801.799999999996
11,1,1691,37.5,12,lake,beach,autumn,18751.0
10,1,1507,493.2,7,lake adventure,heritage,monsoon,17042.8
5,2,2225,122.3,11,food,city,autumn,23228.4
1,4,6208,50.0,9,sunset wildlife hills,beach,monsoon,25632.0
14,6,6310,458.4,2,sunset,beach,winter,541041.6000000001
7,5,6832,223.0,8,hills shopping heritage,city,monsoon,243580.0
13,4,1497,245.8,11,beach shopping,heritage,autumn,81776.8
10,5,1903,163.3,2,sunset wildlife,city,winter,98416.0
11,2,7282,518.3,11,heritage,heritage,autumn,164350.4
11,6,7486,192.5,2,hills food sunset,heritage,winter,498696.0
3,6,6025,141.9,11,sunset heritage,beach,autumn,111855.59999999999
6,1,1563,199.4,10,beach,nature,autumn,10175.6
7,3,1294,137.8,2,sunset hills shopping,mountain,winter,28827.600000000002
7,5,1200,204.2,9,wildlife,city,monsoon,46084.0
1,3,5781,68.1,2,hills tea,beach,winter,18160.199999999997
8,6,6890,111.9,7,wildlife heritage tea,beach,monsoon,333405.6
3,6,5347,261.9,12,beach lake shopping,nature,autumn,102531.59999999999
11,3,2687,530.1,3,hills tea beach,city,summer,95032.20000000001
10,1,6252,53.2,3,wildlife lake,city,summer,62732.8
13,3,1225,143.4,6,wildlife heritage food,nature,monsoon,49495.799999999996
11,2,6763,546.8,5,hills wildlife,nature,monsoon,153160.4
6,3,7221,536.2,1,food wildlife,mountain,winter,136412.40000000002
14,4,5972,414.1,6,sunset,city,monsoon,341057.6
6,3,7130,159.5,4,wildlife tea,beach,summer,130254.0
5,2,5020,263.5,2,wildlife lake,beach,winter,52308.0
13,2,4172,142.5,4,shopping,nature,summer,109612.0
6,5,3121,94.6,1,wildlife beach hills,mountain,winter,95522.0
2,1,7436,240.4,11,food,nature,autumn,15833.6
7,2,5820,354.0,12,tea shopping,city,autumn,84312.0
12,6,2171,228.8,5,beach,mountain,monsoon,161803.2
3,1,7690,374.3,11,tea adventure,city,autumn,24567.2
7,3,1226,191.8,6,wildlife,mountain,monsoon,28047.600000000002
2,2,5030,220.6,11,food tea wildlife,mountain,autumn,21884.8
10,1,2171,478.6,3,beach,beach,summer,23624.4
7,3,5583,529.4,4,hills food,heritage,summer,123595.79999999999
5,4,3771,206.8,9,hills heritage lake,city,monsoon,78728.8
4,2,3947,351.5,3,tea hills food,city,summer,34388.0
8,1,5635,181.3,10,shopping,beach,autumn,45805.2
10,1,6244,50.9,6,heritage adventure,heritage,monsoon,62643.6
14,4,3536,448.0,5,sunset adventure wildlife,beach,monsoon,205184.0
7,6,7983,119.2,6,beach,heritage,monsoon,338146.80000000005
3,2,4389,266.9,10,hills lake adventure,heritage,autumn,28469.2
12,2,1954,302.5,1,tea heritage adventure,beach,winter,49316.0
9,3,846,127.0,10,sunset beach heritage,beach,autumn,24366.0
10,3,2257,74.8,10,beach hills,beach,autumn,68607.6
2,2,5775,221.8,10,heritage adventure wildlife,heritage,autumn,24874.4
5,1,4683,572.3,12,shopping wildlife,heritage,autumn,25704.2
11,4,3232,376.8,10,tea sunset,beach,autumn,148236.8
12,3,4265,241.2,7,hills tea,nature,monsoon,156434.40000000002
7,3,6834,42.6,6,adventure heritage,heritage,monsoon,144025.2
12,2,4915,368.2,5,heritage beach,mountain,monsoon,120905.6
12,6,1218,73.5,10,hills beach tea,heritage,autumn,89460.0
6,4,1153,334.7,5,adventure,mountain,monsoon,33027.2
13,3,4270,456.1,7,lake shopping sunset,mountain,monsoon,172003.2
5,2,3710,265.7,2,tea shopping,mountain,winter,39225.6
4,5,6923,193.7,4,adventure,mountain,summer,142334.0
10,6,4997,47.5,4,wildlife tea heritage,nature,summer,300960.0
9,1,6249,34.4,6,hills heritage food,mountain,monsoon,56378.6
2,6,5013,269.4,7,lake,mountain,monsoon,66621.6
12,5,3286,532.3,9,food heritage sunset,heritage,monsoon,207806.0
3,1,5532,161.6,6,tea shopping adventure,mountain,monsoon,17242.4
12,5,5274,353.0,2,food,heritage,winter,323500.0
1,1,5985,416.9,7,food wildlife,beach,monsoon,7652.6
12,1,2162,55.3,1,hills lake,beach,winter,26165.2
12,1,5419,108.8,11,hills beach wildlife,city,autumn,65463.2
11,3,2855,212.1,10,lake hills,nature,autumn,96760.20000000001
10,4,6489,408.7,3,adventure wildlife hills,heritage,summer,266099.2
7,3,6549,274.6,4,hills heritage adventure,heritage,summer,140824.2
10,1,5298,445.8,1,adventure lake sunset,beach,winter,54763.2
4,2,7616,523.2,5,sunset food hills,city,monsoon,65113.6
11,6,4670,459.9,1,lake wildlife,nature,winter,319257.6
8,6,980,595.5,12,beach wildlife,city,autumn,61332.0
7,5,5164,457.5,2,sunset wildlife,nature,winter,189890.0
8,1,6399,514.3,8,adventure shopping lake,nature,monsoon,53249.2
8,5,1528,502.8,7,beach shopping lake,heritage,monsoon,71176.0
1,5,1553,443.6,3,food wildlife,beach,summer,16637.0
2,4,2766,485.0,10,food heritage,heritage,autumn,29888.0
4,1,6878,562.1,2,lake tea,city,winter,29760.4
2,6,4597,295.6,11,shopping,heritage,autumn,62258.399999999994
7,3,7830,390.2,9,adventure food tea,beach,monsoon,169112.40000000002
10,1,7085,318.7,8,sunset adventure,heritage,monsoon,72124.8
