id,name,name_bn,name_en,category,subtype,latitude,longitude,district,address,phone,website,opening_hours,wheelchair,source,source_url
osm:way:239714217,19,,,accommodation,guest_house,22.5799632,88.411372,,,+919433269298,,,,OpenStreetMap,https://www.openstreetmap.org/way/239714217
osm:node:7992267796,1998 Homestay,,,accommodation,guest_house,23.7385446,92.717141,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/7992267796
osm:node:9422248180,20 Bed MOH Hospital,,,accommodation,hostel,22.3746389,91.3705464,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/9422248180
osm:node:4688286610,4 Colony (AGB Colony) Colony for Govt. Employee,,4 Colony (AGB Colony) Colony for Govt. Employee,accommodation,guest_house,23.7372648,90.4190811,,এজিবি কলোনি কাঁচাবাজার রোড,,,,,OpenStreetMap,https://www.openstreetmap.org/node/4688286610
osm:node:9808568169,4th Staff Quater,,,accommodation,guest_house,23.8963447,90.2681668,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/9808568169
osm:way:1134497836,7 Sisters Falls View Inn,,,accommodation,guest_house,25.2365289,91.7325771,,,,,,,OpenStreetMap,https://www.openstreetmap.org/way/1134497836
osm:way:382402509,99 Guest House,,99 Guest House,accommodation,guest_house,21.4159448,91.9831812,,,,,,,OpenStreetMap,https://www.openstreetmap.org/way/382402509
osm:way:454021181,A B N Sil College Hostel,,,accommodation,hostel,26.3216286,89.449131,,Sunity Road,,,,,OpenStreetMap,https://www.openstreetmap.org/way/454021181
osm:way:664351075,A la Maison,,,accommodation,guest_house,25.5640802,91.878847,,Laban east road,+91 708 54 00 631,https://www.booking.com/hotel/in/a-la-maison,,,OpenStreetMap,https://www.openstreetmap.org/way/664351075
osm:node:4384847170,A+ Building,,,accommodation,hostel,22.8064464,89.5715631,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/4384847170
osm:node:9602582917,AA-27 Marriage Guest House,,,accommodation,hotel,22.59246,88.3987608,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/9602582917
osm:node:11350322887,ACCELCRAFT GIRLS HOSTEL,,,accommodation,hostel,26.1336952,91.825206,Kamrup Metropolitan,PANJABARI,7002177254,www.accelcraft.com,,,OpenStreetMap,https://www.openstreetmap.org/node/11350322887
osm:way:1223691624,ACCELCRAFT GIRLS HOSTEL,,,accommodation,hostel,26.1336298,91.8252389,Kamrup Metropolitan,PANJABARI ROAD,7002177254,www.accelcraft.com,closed till 9:00pm,,OpenStreetMap,https://www.openstreetmap.org/way/1223691624
osm:node:13509359743,ACHYUT EXPRESS TOWER,,,accommodation,hotel,26.177055,91.7571352,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/13509359743
osm:node:5134516014,AHMEED NIR,,,accommodation,hostel,24.5945324,88.2809067,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/5134516014
osm:node:9911032317,AM AS VP abason,,,accommodation,guest_house,22.5406511,88.3444551,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/9911032317
osm:node:2817577016,AMC Girls Hostel,,,accommodation,hostel,24.7622618,90.3941794,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/2817577016
osm:node:6162902257,ANCC Female Dormitory,,,accommodation,hostel,23.4856911,91.1134032,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/6162902257
osm:node:12978271753,ANTARA HOTEL OR RESTAURANT,,,accommodation,hotel,26.4621148,91.4510245,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/12978271753
osm:node:13344515001,ARIF,,,accommodation,hotel,24.807329,88.9436718,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/13344515001
osm:node:12158058569,AS Lodge,এএস লজ,AS Lodge,accommodation,hotel,26.5255641,88.7199582,,,,,,no,OpenStreetMap,https://www.openstreetmap.org/node/12158058569
osm:node:13016738658,ASARBAD HOTEL,,,accommodation,hotel,26.1790384,91.8106087,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/13016738658
osm:node:13511670285,ASSAM FOREST SCHOOL BOYS HOSTEL,,,accommodation,hostel,26.1482105,91.6526481,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/13511670285
osm:node:12106000116,AZMAT GROUP,,,accommodation,camp_site,23.9082804,90.2909164,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/12106000116
osm:node:12549136722,Aani Hotel & Heritage Plaza,,,accommodation,hotel,26.5664369,88.0705101,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/12549136722
osm:node:6880658487,Aarti Hotel,,Aarti Hotel,accommodation,hotel,26.5621014,88.0787643,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/6880658487
osm:node:11933604671,Aashi Apsara,,,accommodation,hotel,26.1777402,91.7545612,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/11933604671
osm:node:5861906691,Abashon,,,accommodation,hostel,25.5836469,89.7060741,Kurigram,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/5861906691
osm:node:6123464495,Abason,,,accommodation,hostel,22.1124834,90.0320202,Barguna,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/6123464495
osm:node:5182857628,Abdul Kadir Mollah City College Boys Hostel,,,accommodation,hostel,23.9224617,90.6985193,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/5182857628
osm:way:534218879,Abdul Kadir Mollah City College Girls Hostel,,,accommodation,hostel,23.929971,90.703463,,,,,,,OpenStreetMap,https://www.openstreetmap.org/way/534218879
osm:way:534193746,Abdul Kadir Mullah City College Ladies Hostel,,,accommodation,hostel,23.9325543,90.7051544,,,,,,,OpenStreetMap,https://www.openstreetmap.org/way/534193746
osm:way:530177802,Abdul Karim Sahityabisharod Hostel,,,accommodation,hostel,22.2900533,91.9846514,,,,,,,OpenStreetMap,https://www.openstreetmap.org/way/530177802
osm:node:12548621391,Abdul Malek Ukil Hall,,,accommodation,hostel,22.7946369,91.1016837,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/12548621391
osm:node:6895527237,Abdullah Khabar Hotel,আব্দুল্লাহ খাবার হোটেল,,accommodation,hotel,24.7177756,90.9439012,,সেন্টার পুরাতন বাস স্ট্যান্ড,,,,,OpenStreetMap,https://www.openstreetmap.org/node/6895527237
osm:node:5195793910,Abdur Rosid Shatrabas,,,accommodation,hostel,25.7149824,89.2469096,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/5195793910
osm:node:13517213181,Abhay Hotel,,,accommodation,hotel,26.1691496,91.7434689,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/13517213181
osm:way:1198393000,Abhimanyu House,,,accommodation,hostel,26.0878618,90.7389826,,,,,,,OpenStreetMap,https://www.openstreetmap.org/way/1198393000
osm:node:13286834155,Abhishek Hotel,,,accommodation,hotel,26.6868809,88.4398569,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/13286834155
osm:node:5290125224,Abokash,,Abokash,accommodation,hotel,25.9382511,88.8490315,,Nilphamari - Saidpur Road,+8801733518752,,24/7,,OpenStreetMap,https://www.openstreetmap.org/node/5290125224
osm:node:6063434672,Abu Sina Hostel,,,accommodation,hostel,24.898716,91.8655032,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/6063434672
osm:node:13506276171,Achala Home,,,accommodation,hotel,26.1917527,91.7549622,,,,,,,OpenStreetMap,https://www.openstreetmap.org/node/13506276171
osm:way:1240195963,Acharya Prafulla Chandra Roy Hall,আচার্য্য প্রফুল্ল চন্দ্র রায় হল,Acharya Prafulla Chandra Roy Hall,accommodation,hostel,22.9898277,88.4505158,,,,,,,OpenStreetMap,https://www.openstreetmap.org/way/1240195963
osm:way:962317078,Acharya Prafulla Chandra Roy Hall Of Residence,,,accommodation,hostel,22.0525691,88.0705741,,,,,,,OpenStreetMap,https://www.openstreetmap.org/way/962317078
osm:way:1176667527,Adamas Knowledge City playground,,,accommodation,camp_site,22.7397956,88.4574913,,Barasat- Barrackpore Road,,,,,OpenStreetMap,https://www.openstreetmap.org/way/1176667527
