id,name,description,longitude,latitude,image_url,article_url,source,source_url
Q105064633,কাজিরবাগ ইকো পার্ক,কাজীরবাগে অবস্থিত ইকো-পার্ক,91.4215504,23.0419682,http://commons.wikimedia.org/wiki/Special:FilePath/Kazirbag%20Eco-Park%20%28180145%29.jpg,https://en.wikipedia.org/wiki/Kazirbag_Eco-Park,Wikidata,http://www.wikidata.org/entity/Q105064633
Q107352608,মেরিটাইম মিউজিয়াম,চট্টগ্রামের নেভাল অ্যাভিনিউ রোডে অবস্থিত জাদুঘর,91.825405,22.344111,http://commons.wikimedia.org/wiki/Special:FilePath/Maritime%20Museum%20signboard.jpg,,Wikidata,http://www.wikidata.org/entity/Q107352608
Q13059829,জয়নুল আবেদিন সংগ্রহশালা,বাংলাদেশের ময়মনসিংহে অবস্থিত একটি জাদুঘর,90.394944444,24.770333333,http://commons.wikimedia.org/wiki/Special:FilePath/Jainul%20Abedin%20Museum.jpg,https://en.wikipedia.org/wiki/Zainul_Abedin_Museum,Wikidata,http://www.wikidata.org/entity/Q13059829
Q13058770,বঙ্গবন্ধু শেখ মুজিবুর রহমান স্মৃতি জাদুঘর,শেখ মুজিবুর রহমানের বাসভবন,90.376388888,23.751666666,http://commons.wikimedia.org/wiki/Special:FilePath/Bangabandhu%20memorial%20museum%20front%20gate%2C%20Dhaka.jpg,https://en.wikipedia.org/wiki/Bangabandhu_Memorial_Museum,Wikidata,http://www.wikidata.org/entity/Q13058770
Q18988201,বাংলাদেশ ডাক জাদুঘর,"ঢাকা জেনারেল ডাকঘর (জিপিও)-তে অবস্থিত একটি জাদুঘর, বাংলাদেশ",90.4109,23.7283,,"https://en.wikipedia.org/wiki/Postal_Museum,_Dhaka",Wikidata,http://www.wikidata.org/entity/Q18988201
Q55232305,রেডিয়েন্ট ফিশ ওয়ার্ল্ড,কক্সবাজার,91.9678958,21.4423182,http://commons.wikimedia.org/wiki/Special:FilePath/Colorful%20aquarium%20fishes%2C%20Radiant%20Fish%20World%2C%20Cox%27s%20Bazar%20%2802%29.jpg,,Wikidata,http://www.wikidata.org/entity/Q55232305
Q60749703,ফয়েজ লেক কনকর্ড,বাংলাদেশে অবস্থিত বিনোদনমূলক পার্ক,91.79624,22.36841,http://commons.wikimedia.org/wiki/Special:FilePath/Foy%27s%20Lake%20Concord%20%282Q7A0334%29.jpg,https://en.wikipedia.org/wiki/Foy%27s_Lake_Concord,Wikidata,http://www.wikidata.org/entity/Q60749703
Q4161768,Q4161768,,88.6355,25.6285,,,Wikidata,http://www.wikidata.org/entity/Q4161768
Q3350326,বাংলাদেশ জাতীয় চিড়িয়াখানা,"মিরপুর, ঢাকা, বাংলাদেশ",90.3446102,23.812674,http://commons.wikimedia.org/wiki/Special:FilePath/Mirpur%20national%20zoo.jpg,https://en.wikipedia.org/wiki/Bangladesh_National_Zoo,Wikidata,http://www.wikidata.org/entity/Q3350326
Q113681620,তমা তুঙ্গী,বান্দরবানের থানচি উপজেলায় অবস্থিত দর্শনীয় স্থান,92.466567,21.830476,,,Wikidata,http://www.wikidata.org/entity/Q113681620
