slug,category,text,score
bandarban,mountain,Bandarban comfortable stay would return spotless room with great view,4
bandarban,mountain,Bandarban spotless room with great view comfortable stay would return comfortable stay would return,4
bandarban,mountain,Bandarban decent location but small rooms comfortable stay would return,3
bandarban,mountain,Bandarban horrible smell and broken air conditioning expected better from the pictures,1
bandarban,mountain,Bandarban fine but nothing to remember,3
bandarban,mountain,Bandarban amazing experience wonderful staff good service and clean room,4
bandarban,mountain,Bandarban expected better from the pictures staff ignored our complaints,1
bandarban,mountain,Bandarban terrible service and dirty room,1
bandarban,mountain,Bandarban staff ignored our complaints,1
bandarban,mountain,Bandarban not worth the price horrible smell and broken air conditioning,1
bandarban,mountain,Bandarban average stay nothing special,3
bandarban,mountain,Bandarban mediocre rooms with bad lighting,2
bandarban,mountain,Bandarban fine but nothing to remember comfortable stay would return,3
bandarban,mountain,Bandarban spotless room with great view memorable stay with excellent food,5
bandarban,mountain,Bandarban small room and unhelpful staff staff ignored our complaints mediocre rooms with bad lighting,2
bandarban,mountain,Bandarban outstanding service and perfect location,5
bandarban,mountain,Bandarban good service and clean room okay place for one night reasonable value for a short trip,3
bandarban,mountain,Bandarban rude staff and noisy place below average food and slow wifi,2
bandarban,mountain,Bandarban spotless room with great view,5
bandarban,mountain,Bandarban pleasant view and good wifi,4
bandarban,mountain,Bandarban rude staff and noisy place,1
bandarban,mountain,Bandarban worst experience ever not worth the price,2
bandarban,mountain,Bandarban average stay nothing special,3
bandarban,mountain,Bandarban reasonable value for a short trip,3
bandarban,mountain,Bandarban average stay nothing special comfortable stay would return mediocre rooms with bad lighting,3
bandarban,mountain,Bandarban great breakfast and friendly staff amazing experience wonderful staff,5
bandarban,mountain,Bandarban staff ignored our complaints rude staff and noisy place horrible smell and broken air conditioning,1
bandarban,mountain,Bandarban reasonable value for a short trip,3
bandarban,mountain,Bandarban decent location but small rooms below average food and slow wifi below average food and slow wifi,2
bandarban,mountain,Bandarban average stay nothing special good service and clean room reasonable value for a short trip,3
bandarban,mountain,Bandarban staff ignored our complaints rude staff and noisy place terrible service and dirty room,1
bandarban,mountain,Bandarban best trip ever highly recommend,5
bandarban,mountain,Bandarban spotless room with great view,5
bandarban,mountain,Bandarban okay place for one night mediocre rooms with bad lighting below average food and slow wifi,2
bandarban,mountain,Bandarban rude staff and noisy place mediocre rooms with bad lighting,1
bandarban,mountain,Bandarban best trip ever highly recommend pleasant view and good wifi decent location but small rooms,4
bandarban,mountain,Bandarban fine but nothing to remember average stay nothing special,3
bandarban,mountain,Bandarban great breakfast and friendly staff comfortable stay would return,4
bandarban,mountain,Bandarban memorable stay with excellent food,5
