temperature,humidity,latitude,longitude,sos
28.0,57.8,23.50133,91.11796,1
34.9,58.7,23.8588,89.33281,0
28.9,75.0,22.75659,90.84613,0
32.9,90.6,24.1612,90.48124,1
25.3,76.4,24.389,90.25003,1
24.3,77.5,23.39499,90.77711,1
29.9,70.8,23.40697,90.30536,1
28.2,66.0,23.48034,91.34312,1
30.4,62.1,24.21575,90.72161,0
32.1,77.0,23.64162,89.50395,0
31.3,72.0,21.81578,92.15977,0
28.6,70.5,22.98512,90.23218,0
26.3,66.3,24.16477,90.10293,1
25.8,76.2,23.87894,89.81733,1
30.9,55.2,23.99346,91.04951,0
36.9,79.6,23.76557,91.18109,1
30.0,75.9,22.63925,90.9625,0
25.2,67.3,23.01948,90.42261,1
29.3,82.4,23.67925,90.44798,0
33.2,89.0,24.49517,91.75461,0
30.8,77.2,24.63705,91.25754,0
25.0,58.6,22.71883,90.64512,0
30.0,75.9,22.34426,90.37534,1
32.2,73.3,22.89009,89.69916,1
33.4,54.0,23.37491,90.79583,1
22.0,74.3,24.12308,90.2893,1
28.3,60.9,22.38633,90.74959,0
32.0,80.4,23.36829,90.5034,1
37.7,59.8,22.50235,90.75706,1
34.7,71.4,23.82089,90.03222,1
25.6,70.6,22.25335,90.82148,0
33.9,71.1,23.06498,90.80114,1
28.3,64.3,23.4532,91.50879,0
29.5,61.6,24.53744,90.87381,0
28.7,69.4,23.75961,90.49479,1
31.2,76.0,24.47154,89.05006,1
36.8,66.0,22.23482,89.91499,0
26.1,58.5,23.98476,90.07959,0
33.4,64.5,23.88687,91.27896,1
30.3,65.2,24.25502,91.50112,1
33.3,69.7,25.34035,91.11427,1
33.4,62.7,22.95668,91.14718,1
29.6,74.9,23.99461,90.97943,1
32.7,71.6,23.87305,90.26793,1
34.9,82.6,24.73362,91.03932,0
25.5,59.5,23.86488,90.7394,0
35.2,84.0,24.24209,91.10802,0
31.4,82.7,23.48726,90.74718,0
36.2,69.2,22.72472,91.32891,0
21.7,80.7,23.67549,89.80463,0
29.9,65.7,24.86388,90.9422,0
28.1,60.8,23.54963,89.48016,0
27.4,73.1,23.1549,89.79333,0
22.3,74.9,22.48823,90.68428,0
29.0,74.3,23.34151,89.66133,0
28.9,74.5,22.28594,89.3703,0
25.4,52.7,22.93373,90.66591,0
26.3,63.9,23.03386,89.66233,1
33.1,57.3,23.11968,90.94266,0
29.3,63.1,22.52965,90.89836,1
34.1,69.0,24.03303,91.18568,1
38.6,66.7,23.87234,91.20201,1
30.0,95.5,23.51764,90.70893,0
29.9,74.4,23.10119,89.95863,1
23.6,69.3,23.65508,90.68448,1
21.9,54.2,23.61358,90.17996,0
28.9,67.0,23.47381,90.88116,0
27.0,72.6,23.06064,90.00862,1
32.5,59.7,23.01999,90.05728,0
33.9,70.5,24.93509,90.74711,0
29.0,70.0,23.12445,90.36027,1
31.3,66.3,22.78805,90.2171,1
26.4,67.8,24.2241,90.09752,0
31.2,70.9,23.0522,90.18662,0
23.1,74.5,22.29506,89.96674,1
31.3,66.2,24.79746,90.59608,0
